Id,first_timestamp,last_timestamp,total_cycle_time,n_stations_visited,path_signature,split,Response,risk_score,alert
307,723.28,736.16,12.88,8,L2_S26|L3_S36|L3_S46,train,0,0.078892,False
310,1658.73,1668.35,9.62,9,L0_S24|L1_S34|L3_S44,train,0,0.140474,False
313,568.84,581.67,12.83,15,L3_S27|L0_S37|L3_S47,train,0,0.370764,False
316,152.67,152.77,0.1,13,L1_S25|L2_S35|L3_S45,train,0,0.000005,False
319,332.6,346.75,14.15,18,L2_S26|L3_S36|L3_S46,train,0,0.14112,False
322,1017.18,1020.82,3.64,15,L3_S31|L0_S41|L3_S51,train,0,0.001996,False
325,1358.9,1361.71,2.81,12,L0_S28|L1_S38|L3_S48,train,0,0.927266,True
328,112.42,122.92,10.5,9,L2_S22|L3_S32|L3_S42,train,0,0.359951,False
331,61.43,86.09,24.66,9,L3_S23|L0_S33|L3_S43,train,0,0.254624,False
334,433.82,446.66,12.84,13,L1_S21|L2_S31|L3_S41,train,0,0.003406,False
337,89.12,93.19,4.07,15,L1_S25|L2_S35|L3_S45,train,0,0.120412,False
340,249.83,268.41,18.58,19,L3_S27|L0_S37|L3_S47,train,0,0.713689,False
343,981.42,990.63,9.21,18,L0_S24|L1_S34|L3_S44,train,0,0.382331,False
346,586.77,598.73,11.96,13,L0_S28|L1_S38|L3_S48,train,0,0.021081,False
349,1146.21,1157.85,11.64,17,L0_S24|L1_S34|L3_S44,train,0,0.399025,False
352,982.43,983.76,1.33,21,L1_S25|L2_S35|L3_S45,train,0,0.001483,False
355,1204.38,1210.64,6.26,11,L1_S21|L2_S31|L3_S41,train,0,0.384523,False
358,1161,1175.74,14.74,8,L0_S24|L1_S34|L3_S44,train,0,0.790448,True
361,708.01,709.18,1.17,8,L3_S23|L0_S33|L3_S43,train,0,0.408404,False
364,1079.72,1093.44,13.72,16,L2_S30|L3_S40|L3_S50,train,0,0.120377,False
367,757.6,768.98,11.38,11,L0_S24|L1_S34|L3_S44,train,0,0.007264,False
370,1045.31,1054.67,9.36,17,L2_S22|L3_S32|L3_S42,train,0,0.021899,False
373,730.29,737.15,6.86,15,L3_S31|L0_S41|L3_S51,train,0,0.070303,False
376,574.85,590.71,15.86,10,L2_S26|L3_S36|L3_S46,train,0,0.020813,False
379,379.66,393.04,13.38,16,L1_S21|L2_S31|L3_S41,train,0,0.008949,False
382,279.17,290.23,11.06,17,L0_S28|L1_S38|L3_S48,train,0,0.127404,False
385,1352.17,1364.51,12.34,12,L1_S21|L2_S31|L3_S41,train,0,0.215215,False
388,569.29,577.07,7.78,17,L0_S20|L1_S30|L3_S40,train,0,0.378866,False
391,460.97,476.42,15.45,9,L0_S24|L1_S34|L3_S44,train,0,0.030621,False
394,186.48,188.93,2.45,12,L3_S31|L0_S41|L3_S51,train,0,0.044318,False
397,835.3,848.06,12.76,8,L2_S26|L3_S36|L3_S46,train,0,0.32698,False
400,1482.53,1495.62,13.09,10,L0_S28|L1_S38|L3_S48,train,0,0.37175,False
403,1615.79,1628.33,12.54,20,L1_S21|L2_S31|L3_S41,train,0,0.349659,False
406,363.86,371.5,7.64,17,L1_S29|L2_S39|L3_S49,train,0,0.848886,True
409,20.87,30.83,9.96,8,L2_S30|L3_S40|L3_S50,train,0,0.205131,False
412,76.5,86.75,10.25,18,L3_S31|L0_S41|L3_S51,train,1,0.824654,True
415,1293.14,1307.13,13.99,15,L2_S26|L3_S36|L3_S46,train,0,0.065163,False
418,1524.19,1536.43,12.24,9,L2_S26|L3_S36|L3_S46,train,1,0.966278,True
421,880.07,895.22,15.15,17,L3_S23|L0_S33|L3_S43,train,0,0.00809,False
424,1004.49,1025.12,20.63,19,L3_S31|L0_S41|L3_S51,train,0,0.18904,False
427,866.99,878.38,11.39,10,L2_S22|L3_S32|L3_S42,train,0,0.624137,False
430,860.4,875.27,14.87,8,L0_S24|L1_S34|L3_S44,train,0,0.223658,False
433,1148.92,1174.72,25.8,14,L2_S30|L3_S40|L3_S50,train,0,0.138983,False
436,1039.29,1045.51,6.22,14,L3_S31|L0_S41|L3_S51,train,0,0.082654,False
439,1583.09,1585.94,2.85,14,L1_S29|L2_S39|L3_S49,train,0,0.000446,False
442,530.6,536.78,6.18,14,L0_S20|L1_S30|L3_S40,train,0,0.164116,False
445,555.28,567.27,11.99,11,L2_S22|L3_S32|L3_S42,train,0,0.915449,True
448,906.12,918.8,12.68,9,L3_S23|L0_S33|L3_S43,train,0,0.013064,False
451,708.2,721.9,13.7,9,L0_S20|L1_S30|L3_S40,train,0,0.000063,False
454,823.66,835.4,11.74,14,L1_S29|L2_S39|L3_S49,train,0,0.285725,False
457,100.08,109.33,9.25,12,L1_S29|L2_S39|L3_S49,train,0,0.005932,False
460,214.92,223.25,8.33,10,L0_S28|L1_S38|L3_S48,train,0,0.016437,False
463,1309.99,1312.57,2.58,20,L0_S20|L1_S30|L3_S40,train,0,0.252669,False
466,535.98,549.38,13.4,10,L2_S22|L3_S32|L3_S42,train,0,0.064484,False
469,935.79,944.1,8.31,8,L3_S27|L0_S37|L3_S47,train,0,0.000072,False
472,1229.36,1230.46,1.1,14,L3_S27|L0_S37|L3_S47,train,0,0.453776,False
475,840.4,853.44,13.04,14,L2_S22|L3_S32|L3_S42,train,0,0.18137,False
478,463.32,466.01,2.69,19,L0_S28|L1_S38|L3_S48,train,1,0.780777,True
481,1682.55,1697.18,14.63,12,L2_S26|L3_S36|L3_S46,train,0,0.036698,False
484,354.61,365.49,10.88,14,L1_S29|L2_S39|L3_S49,train,0,0.604559,False
487,449.45,457.13,7.68,9,L3_S27|L0_S37|L3_S47,train,0,0.003097,False
490,1421.13,1432.09,10.96,14,L0_S28|L1_S38|L3_S48,train,0,0.073097,False
493,258.46,270.57,12.11,9,L3_S27|L0_S37|L3_S47,train,0,0.08588,False
496,5.91,10.84,4.93,17,L2_S22|L3_S32|L3_S42,train,0,0.782956,True
499,621.24,640.07,18.83,15,L0_S28|L1_S38|L3_S48,train,0,0.463694,False
502,601.26,608.46,7.2,11,L0_S24|L1_S34|L3_S44,train,0,0.408559,False
505,586,591.49,5.49,21,L1_S29|L2_S39|L3_S49,train,0,0.124839,False
508,38.32,52.11,13.79,8,L2_S26|L3_S36|L3_S46,train,0,0.028538,False
511,1114.16,1124.98,10.82,13,L2_S22|L3_S32|L3_S42,train,0,0.469142,False
514,1267.92,1280.15,12.23,20,L2_S30|L3_S40|L3_S50,train,0,0.072511,False
517,1606.09,1619.41,13.32,13,L0_S20|L1_S30|L3_S40,train,0,0.02051,False
520,1307.83,1312.41,4.58,20,L1_S21|L2_S31|L3_S41,train,0,0.001486,False
523,1224.17,1234.09,9.92,18,L2_S26|L3_S36|L3_S46,train,0,0.001165,False
526,1162.38,1167.88,5.5,11,L3_S23|L0_S33|L3_S43,train,0,0.223371,False
529,1132.44,1145.71,13.27,18,L3_S31|L0_S41|L3_S51,train,0,0.731851,False
532,1517.86,1521.39,3.53,16,L0_S24|L1_S34|L3_S44,train,0,0.137642,False
535,1278.65,1280.72,2.07,20,L0_S24|L1_S34|L3_S44,train,0,0.103499,False
538,1532.27,1548.7,16.43,21,L0_S28|L1_S38|L3_S48,train,0,0.343593,False
541,305.44,305.54,0.1,19,L0_S28|L1_S38|L3_S48,train,0,0.135409,False
544,792.32,801.8,9.48,14,L1_S29|L2_S39|L3_S49,train,0,0.080031,False
547,1646.09,1672.07,25.98,9,L1_S25|L2_S35|L3_S45,train,0,0.074214,False
550,1534.99,1541.94,6.95,8,L3_S31|L0_S41|L3_S51,train,0,0.775675,True
553,1325.88,1345.52,19.64,15,L0_S20|L1_S30|L3_S40,train,0,0.468102,False
556,415.68,419.13,3.45,13,L0_S20|L1_S30|L3_S40,train,0,0.136104,False
559,671.15,685.6,14.45,18,L2_S30|L3_S40|L3_S50,train,0,0.040391,False
562,306.41,325.4,18.99,13,L3_S27|L0_S37|L3_S47,train,0,0.684461,False
565,826.84,844.45,17.61,10,L1_S25|L2_S35|L3_S45,train,0,0.925347,True
568,1463.82,1476.93,13.11,17,L3_S27|L0_S37|L3_S47,train,0,0.218188,False
571,141.76,153.96,12.2,8,L3_S23|L0_S33|L3_S43,train,0,0.012367,False
574,1236.46,1252.12,15.66,8,L0_S28|L1_S38|L3_S48,train,0,0.046811,False
577,418.33,436.18,17.85,17,L2_S30|L3_S40|L3_S50,train,0,0.116751,False
580,502.94,519.02,16.08,16,L2_S30|L3_S40|L3_S50,train,0,0.01471,False
583,1456.67,1470.82,14.15,18,L1_S21|L2_S31|L3_S41,train,0,0.093819,False
586,436.24,451.26,15.02,16,L3_S23|L0_S33|L3_S43,train,0,0.87098,True
589,936.25,946.5,10.25,15,L1_S21|L2_S31|L3_S41,train,0,0.600547,False
592,800.22,816.63,16.41,8,L3_S27|L0_S37|L3_S47,train,0,0.238948,False
595,473.46,483.42,9.96,13,L1_S25|L2_S35|L3_S45,train,0,0.031979,False
598,563.34,575.34,12,12,L2_S22|L3_S32|L3_S42,train,0,0.346995,False
601,1474.47,1494.92,20.45,20,L3_S23|L0_S33|L3_S43,train,0,0.294514,False
604,1135.26,1149.53,14.27,18,L1_S25|L2_S35|L3_S45,train,0,0.98572,True
607,1408.21,1413.27,5.06,9,L1_S21|L2_S31|L3_S41,train,0,0.085793,False
610,1240.34,1252.31,11.97,21,L0_S24|L1_S34|L3_S44,train,0,0.315451,False
613,414.11,421.27,7.16,16,L3_S27|L0_S37|L3_S47,train,0,0.047825,False
616,988.44,1008.83,20.39,17,L1_S25|L2_S35|L3_S45,train,0,0.046188,False
619,1197.5,1209.52,12.02,10,L1_S25|L2_S35|L3_S45,train,0,0.878461,True
622,1459.28,1474.93,15.65,18,L0_S24|L1_S34|L3_S44,train,0,0.5217,False
625,899.36,907.67,8.31,9,L3_S23|L0_S33|L3_S43,train,0,0.457519,False
628,809.41,820.46,11.05,14,L3_S31|L0_S41|L3_S51,train,1,0.800307,True
631,1607.47,1607.57,0.1,9,L3_S31|L0_S41|L3_S51,train,0,0.063468,False
634,487.57,506.27,18.7,20,L0_S20|L1_S30|L3_S40,train,0,0.013404,False
637,1400.91,1413.17,12.26,13,L3_S31|L0_S41|L3_S51,train,0,0.946301,True
640,1066.09,1068.66,2.57,14,L2_S22|L3_S32|L3_S42,train,0,0.011284,False
643,1427.65,1443.74,16.09,11,L2_S26|L3_S36|L3_S46,train,0,0.863833,True
646,899.22,905.31,6.09,17,L2_S22|L3_S32|L3_S42,train,0,0.041344,False
649,255.34,267.11,11.77,15,L1_S21|L2_S31|L3_S41,train,0,0.282816,False
652,476.18,483.12,6.94,16,L1_S21|L2_S31|L3_S41,train,0,0.112725,False
655,306.43,310.22,3.79,9,L0_S20|L1_S30|L3_S40,train,0,0.064921,False
658,994.34,997.76,3.42,11,L3_S31|L0_S41|L3_S51,train,0,0.111736,False
661,204.76,213.01,8.25,13,L1_S21|L2_S31|L3_S41,train,0,0.004714,False
664,1570.3,1581.86,11.56,16,L1_S25|L2_S35|L3_S45,train,0,0.249287,False
667,827.35,840.29,12.94,18,L0_S20|L1_S30|L3_S40,train,0,0.701152,False
670,218,236.48,18.48,21,L1_S21|L2_S31|L3_S41,train,0,0.23664,False
673,1086.79,1098.85,12.06,13,L3_S27|L0_S37|L3_S47,train,0,0.383709,False
676,69.89,69.99,0.1,19,L2_S22|L3_S32|L3_S42,train,0,0.823079,True
679,727.94,733.85,5.91,11,L0_S28|L1_S38|L3_S48,train,0,0.623031,False
682,1018.41,1022.09,3.68,16,L3_S27|L0_S37|L3_S47,train,0,0.157652,False
685,183.84,202.56,18.72,13,L1_S25|L2_S35|L3_S45,train,0,0.319052,False
688,1158.7,1164.61,5.91,16,L3_S27|L0_S37|L3_S47,train,0,0.182257,False
691,811.66,825.84,14.18,20,L1_S25|L2_S35|L3_S45,train,0,0.080119,False
694,107.84,115.78,7.94,14,L0_S24|L1_S34|L3_S44,train,0,0.312706,False
697,866.89,875.41,8.52,9,L2_S26|L3_S36|L3_S46,train,0,0.481229,False
700,1460.8,1479.35,18.55,18,L3_S23|L0_S33|L3_S43,train,0,0.038537,False
703,814.54,817.7,3.16,19,L3_S23|L0_S33|L3_S43,train,0,0.017101,False
706,971.69,986.98,15.29,18,L0_S24|L1_S34|L3_S44,train,0,0.000978,False
709,855.29,866.47,11.18,20,L1_S25|L2_S35|L3_S45,train,0,0.034687,False
712,1058.25,1058.35,0.1,19,L0_S28|L1_S38|L3_S48,train,0,0.688933,False
715,615.58,627.12,11.54,19,L0_S20|L1_S30|L3_S40,train,0,0.017419,False
718,1662.53,1674.07,11.54,15,L1_S21|L2_S31|L3_S41,train,0,0.329406,False
721,1213.47,1223.24,9.77,18,L2_S26|L3_S36|L3_S46,train,0,0.033048,False
724,1123.68,1129.16,5.48,9,L2_S26|L3_S36|L3_S46,train,0,0.220823,False
727,680.84,701.03,20.19,20,L0_S28|L1_S38|L3_S48,train,0,0.094975,False
730,836.54,854.17,17.63,12,L1_S29|L2_S39|L3_S49,train,0,0.319422,False
733,437.26,445.61,8.35,13,L2_S30|L3_S40|L3_S50,train,0,0.533859,False
736,757.27,766.65,9.38,13,L2_S26|L3_S36|L3_S46,train,0,0.241114,False
739,736.65,743.65,7,9,L3_S23|L0_S33|L3_S43,train,0,0.000009,False
742,355.54,359.66,4.12,12,L1_S29|L2_S39|L3_S49,train,1,0.853041,True
745,324.04,336.05,12.01,21,L1_S29|L2_S39|L3_S49,train,0,0.774411,True
748,1307.56,1311.13,3.57,18,L3_S27|L0_S37|L3_S47,train,0,0.122181,False
751,1601.43,1606.6,5.17,8,L0_S24|L1_S34|L3_S44,train,0,0.131649,False
754,745.46,758.91,13.45,20,L1_S25|L2_S35|L3_S45,train,0,0.0261,False
757,176.76,185.15,8.39,15,L1_S21|L2_S31|L3_S41,train,0,0.199259,False
760,855.45,864.62,9.17,17,L0_S28|L1_S38|L3_S48,train,0,0.063166,False
763,1665.33,1681.42,16.09,19,L1_S25|L2_S35|L3_S45,train,0,0.164863,False
766,1288.84,1299.3,10.46,18,L3_S31|L0_S41|L3_S51,train,0,0.989049,True
769,705.68,721.2,15.52,21,L1_S21|L2_S31|L3_S41,train,0,0.149618,False
772,1564.58,1576.01,11.43,17,L2_S26|L3_S36|L3_S46,train,0,0.974133,True
775,355.71,363.71,8,15,L0_S28|L1_S38|L3_S48,train,0,0.235017,False
778,79.04,88.23,9.19,20,L2_S26|L3_S36|L3_S46,train,0,0.244088,False
781,616.77,629.4,12.63,17,L3_S27|L0_S37|L3_S47,train,0,0.000217,False
784,849.13,849.23,0.1,21,L2_S26|L3_S36|L3_S46,train,0,0.034372,False
787,685.91,694.55,8.64,14,L1_S29|L2_S39|L3_S49,train,0,0.292587,False
790,647.08,652.78,5.7,13,L1_S25|L2_S35|L3_S45,train,0,0.039264,False
793,1420.46,1434.38,13.92,20,L1_S25|L2_S35|L3_S45,train,0,0.021422,False
796,696.41,714.16,17.75,9,L1_S29|L2_S39|L3_S49,train,0,0.065257,False
799,750.53,758.67,8.14,19,L0_S28|L1_S38|L3_S48,train,0,0.091901,False
802,76.09,76.52,0.43,9,L3_S23|L0_S33|L3_S43,train,0,0.386366,False
805,1670.28,1686.37,16.09,16,L1_S25|L2_S35|L3_S45,train,0,0.169239,False
808,1188.88,1192.3,3.42,19,L3_S23|L0_S33|L3_S43,train,0,0.731421,False
811,1517.51,1528.19,10.68,13,L0_S20|L1_S30|L3_S40,train,0,0.278287,False
814,581.43,597.27,15.84,17,L2_S26|L3_S36|L3_S46,train,0,0.064384,False
817,1626.15,1641.42,15.27,18,L1_S25|L2_S35|L3_S45,train,0,0.02893,False
820,1239.05,1242.64,3.59,17,L0_S20|L1_S30|L3_S40,train,0,0.613179,False
823,555.08,558.51,3.43,15,L2_S26|L3_S36|L3_S46,train,0,0.152064,False
826,76.57,93.02,16.45,20,L3_S27|L0_S37|L3_S47,train,1,0.838477,True
829,946,950.34,4.34,13,L3_S27|L0_S37|L3_S47,train,0,0.350532,False
832,318.04,326.71,8.67,20,L3_S31|L0_S41|L3_S51,train,0,0.181383,False
835,1565.96,1583.55,17.59,13,L1_S21|L2_S31|L3_S41,train,0,0.187896,False
838,468.94,471.51,2.57,16,L2_S22|L3_S32|L3_S42,train,0,0.058558,False
841,630.47,637.3,6.83,11,L3_S31|L0_S41|L3_S51,train,0,0.381308,False
844,580.59,592.28,11.69,19,L0_S20|L1_S30|L3_S40,train,0,0.081025,False
847,1684.45,1699.88,15.43,19,L0_S24|L1_S34|L3_S44,train,0,0.742103,True
850,1033.9,1057.49,23.59,16,L3_S27|L0_S37|L3_S47,train,0,0.34894,False
853,1408.47,1412.56,4.09,21,L1_S29|L2_S39|L3_S49,train,0,0.631669,False
856,480.98,491.99,11.01,9,L2_S22|L3_S32|L3_S42,train,0,0.088631,False
859,7.38,15.55,8.17,17,L3_S23|L0_S33|L3_S43,train,0,0.01056,False
862,912.65,930.58,17.93,21,L1_S21|L2_S31|L3_S41,train,0,0.606563,False
865,1438.97,1443.28,4.31,11,L2_S22|L3_S32|L3_S42,train,0,0.000698,False
868,437.55,449.29,11.74,18,L0_S24|L1_S34|L3_S44,train,1,0.782244,True
871,788.97,803.87,14.9,10,L0_S28|L1_S38|L3_S48,train,0,0.209896,False
874,1313.42,1339.01,25.59,13,L3_S27|L0_S37|L3_S47,train,0,0.00815,False
877,1345.05,1367.77,22.72,20,L1_S25|L2_S35|L3_S45,train,0,0.836318,True
880,366.95,376.17,9.22,10,L0_S20|L1_S30|L3_S40,train,0,0.698394,False
883,1135.19,1142.37,7.18,21,L2_S22|L3_S32|L3_S42,train,0,0.000253,False
886,196.17,214.12,17.95,20,L2_S30|L3_S40|L3_S50,train,0,0.52714,False
889,246.2,246.3,0.1,16,L0_S24|L1_S34|L3_S44,train,0,0.252511,False
892,492.23,506.69,14.46,14,L3_S31|L0_S41|L3_S51,train,1,0.944946,True
895,328.48,336.26,7.78,16,L3_S23|L0_S33|L3_S43,train,0,0.067799,False
898,1619.16,1619.26,0.1,15,L3_S27|L0_S37|L3_S47,train,0,0.009987,False
901,173.15,174.63,1.48,9,L3_S31|L0_S41|L3_S51,train,0,0.000151,False
904,1379.06,1400.04,20.98,12,L2_S22|L3_S32|L3_S42,train,0,0.20367,False
907,708.56,725.21,16.65,19,L2_S22|L3_S32|L3_S42,train,0,0.320479,False
910,275.92,293.7,17.78,10,L0_S28|L1_S38|L3_S48,train,0,0.00195,False
913,1038.91,1053.82,14.91,8,L1_S29|L2_S39|L3_S49,train,0,0.359987,False
